path,filename,languages,media,date,pid,designType,activityType,groupType
childes/Eng-NA/Bates/Free20/amy,amy,eng,,,11312/c-00015218-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/betty,betty,eng,,,11312/c-00015219-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/chuck,chuck,eng,,,11312/c-00015220-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/doug,doug,eng,,,11312/c-00015221-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/ed,ed,eng,,,11312/c-00015222-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/frank,frank,eng,,,11312/c-00015223-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/gloria,gloria,eng,,,11312/c-00015224-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/hank,hank,eng,,,11312/c-00015225-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/ivy,ivy,eng,,,11312/c-00015226-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/jane,jane,eng,,,11312/c-00015227-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/jim,jim,eng,,,11312/c-00015228-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/kathy,kathy,eng,,,11312/c-00015229-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/keith,keith,eng,,,11312/c-00015230-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/kent,kent,eng,,,11312/c-00015231-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/linda,linda,eng,,,11312/c-00015232-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/mandy,mandy,eng,,,11312/c-00015233-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/nan,nan,eng,,,11312/c-00015234-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/olivia,olivia,eng,,,11312/c-00015235-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/paula,paula,eng,,,11312/c-00015236-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/pete,pete,eng,,,11312/c-00015237-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/ruth,ruth,eng,,,11312/c-00015238-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/steve,steve,eng,,,11312/c-00015239-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/sue,sue,eng,,,11312/c-00015240-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/tom,tom,eng,,,11312/c-00015241-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/vicki,vicki,eng,,,11312/c-00015242-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/wanda,wanda,eng,,,11312/c-00015243-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/will,will,eng,,,11312/c-00015244-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/zeke,zeke,eng,,,11312/c-00015245-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/amy28,amy28,eng,,,11312/c-00015246-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/betty28,betty28,eng,,,11312/c-00015247-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/chuck28,chuck28,eng,,,11312/c-00015248-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/doug28,doug28,eng,,,11312/c-00015249-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/ed28,ed28,eng,,,11312/c-00015250-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/frank28,frank28,eng,,,11312/c-00015251-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/george28,george28,eng,,,11312/c-00015252-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/gloria28,gloria28,eng,,,11312/c-00015253-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/hank28,hank28,eng,,,11312/c-00015254-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/ivy28,ivy28,eng,,,11312/c-00015255-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/keith28,keith28,eng,,,11312/c-00015259-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/kent28,kent28,eng,,,11312/c-00015260-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/linda28,linda28,eng,,,11312/c-00015261-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/mandy28,mandy28,eng,,,11312/c-00015262-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/nan28,nan28,eng,,,11312/c-00015263-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/olivia28,olivia28,eng,,,11312/c-00015264-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/paula28,paula28,eng,,,11312/c-00015265-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/pete28,pete28,eng,,,11312/c-00015266-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/rick28,rick28,eng,,,11312/c-00015267-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/ruth28,ruth28,eng,,,11312/c-00015268-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/steve28,steve28,eng,,,11312/c-00015269-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/sue28,sue28,eng,,,11312/c-00015270-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/wanda28,wanda28,eng,,,11312/c-00015273-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/will28,will28,eng,,,11312/c-00015274-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/zeke28,zeke28,eng,,,11312/c-00015275-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/amy,amy,eng,,,11312/c-00015276-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/betty,betty,eng,,,11312/c-00015277-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/chuck,chuck,eng,,,11312/c-00015278-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/doug,doug,eng,,,11312/c-00015279-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/ed_snack,ed_snack,eng,,,11312/c-00015280-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/frank,frank,eng,,,11312/c-00015281-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/gloria,gloria,eng,,,11312/c-00015282-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/hank,hank,eng,,,11312/c-00015283-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/ivy,ivy,eng,,,11312/c-00015284-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/keith,keith,eng,,,11312/c-00015288-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/kent,kent,eng,,,11312/c-00015289-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/linda,linda,eng,,,11312/c-00015290-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/mandy,mandy,eng,,,11312/c-00015291-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/nan,nan,eng,,,11312/c-00015292-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/olivia,olivia,eng,,,11312/c-00015293-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/paula,paula,eng,,,11312/c-00015294-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/pete,pete,eng,,,11312/c-00015295-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/rick,rick,eng,,,11312/c-00015296-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/ruth,ruth,eng,,,11312/c-00015297-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/steve,steve,eng,,,11312/c-00015298-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/sue,sue,eng,,,11312/c-00015299-1,cross,toyplay,TD
childes/Eng-NA/Bates/Snack28/zeke,zeke,eng,,,11312/c-00015304-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/amyst,amyst,eng,,,11312/c-00015305-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/bettyst,bettyst,eng,,,11312/c-00015306-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/chuckst,chuckst,eng,,,11312/c-00015307-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/dougst,dougst,eng,,,11312/c-00015308-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/edst,edst,eng,,,11312/c-00015309-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/frankst,frankst,eng,,,11312/c-00015310-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/georgest,georgest,eng,,,11312/c-00015311-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/gloriast,gloriast,eng,,,11312/c-00015312-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/hankst,hankst,eng,,,11312/c-00015313-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/ivyst,ivyst,eng,,,11312/c-00015314-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/keithst,keithst,eng,,,11312/c-00015318-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/kentst,kentst,eng,,,11312/c-00015319-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/lindast,lindast,eng,,,11312/c-00015320-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/mandyst,mandyst,eng,,,11312/c-00015321-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/nanst,nanst,eng,,,11312/c-00015322-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/oliviast,oliviast,eng,,,11312/c-00015323-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/paulast,paulast,eng,,,11312/c-00015324-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/petest,petest,eng,,,11312/c-00015325-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/rickst,rickst,eng,,,11312/c-00015326-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/ruthst,ruthst,eng,,,11312/c-00015327-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/stevest,stevest,eng,,,11312/c-00015328-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/suest,suest,eng,,,11312/c-00015329-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/wandast,wandast,eng,,,11312/c-00015332-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/willst,willst,eng,,,11312/c-00015333-1,cross,toyplay,TD
childes/Eng-NA/Bates/Story28/zekest,zekest,eng,,,11312/c-00015334-1,cross,toyplay,TD
childes/Eng-NA/Bernstein/Children/Alice/010100,010100,eng,audio,1980-02-18,11312/c-00015335-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Alice/010300,010300,eng,audio,,11312/c-00015336-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Alice/010500,010500,eng,audio,,11312/c-00015337-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Amelia/010600,010600,eng,audio,,11312/c-00015338-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Amelia/010800,010800,eng,audio,,11312/c-00015339-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Amelia/011000,011000,eng,audio,,11312/c-00015340-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Anne/010500,010500,eng,"audio,missing",,11312/c-00015341-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Anne/010800,010800,eng,audio,,11312/c-00015342-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Anne/011000,011000,eng,audio,,11312/c-00015343-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Cindy/010800,010800,eng,audio,,11312/c-00015344-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Cindy/011000,011000,eng,audio,,11312/c-00015345-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Cindy/020000,020000,eng,audio,,11312/c-00015346-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Dale/010500,010500,eng,audio,,11312/c-00015347-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Dale/010700,010700,eng,audio,,11312/c-00015348-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Dale/010900,010900,eng,audio,,11312/c-00015349-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Gail/010900,010900,eng,audio,,11312/c-00015350-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Gail/011100,011100,eng,audio,,11312/c-00015351-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Gail/020100,020100,eng,audio,,11312/c-00015352-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Kay/010100,010100,eng,audio,,11312/c-00015353-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Kay/010400,010400,eng,audio,,11312/c-00015354-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Kay/010600,010600,eng,audio,,11312/c-00015355-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Lena/010700,010700,eng,"audio,missing",,11312/c-00015356-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Lena/011000,011000,eng,"audio,missing",,11312/c-00015357-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Lena/020000,020000,eng,"audio,missing",,11312/c-00015358-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Marie/010600,010600,eng,audio,,11312/c-00015359-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Marie/010800,010800,eng,audio,,11312/c-00015360-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Children/Marie/011000,011000,eng,audio,,11312/c-00015361-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Alice/alice1,alice1,eng,,1980-02-18,11312/c-00015362-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Alice/alice3,alice3,eng,,,11312/c-00015363-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Amelia/amelia1,amelia1,eng,,,11312/c-00015364-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Amelia/amelia2,amelia2,eng,,,11312/c-00015365-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Amelia/amelia3,amelia3,eng,,,11312/c-00015366-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Anne/anne1,anne1,eng,,,11312/c-00015367-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Anne/anne2,anne2,eng,,,11312/c-00015368-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Anne/anne3,anne3,eng,,,11312/c-00015369-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Cindy/cindy1,cindy1,eng,,,11312/c-00015370-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Cindy/cindy2,cindy2,eng,,,11312/c-00015371-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Cindy/cindy3,cindy3,eng,,,11312/c-00015372-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Dale/dale1,dale1,eng,,,11312/c-00015373-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Dale/dale2,dale2,eng,,,11312/c-00015374-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Dale/dale3,dale3,eng,,,11312/c-00015375-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Gail/gail2,gail2,eng,,,11312/c-00015376-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Gail/gail3,gail3,eng,,,11312/c-00015377-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Kay/kay2,kay2,eng,,,11312/c-00015378-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Kay/kay3,kay3,eng,,,11312/c-00015379-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Lena/lena2,lena2,eng,,,11312/c-00015380-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Lena/lena3,lena3,eng,,,11312/c-00015381-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Marie/marie1,marie1,eng,,,11312/c-00015382-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Marie/marie2,marie2,eng,,,11312/c-00015383-1,cross,preverbal,TD
childes/Eng-NA/Bernstein/Interview/Marie/marie3,marie3,eng,,,11312/c-00015384-1,cross,preverbal,TD
childes/Eng-NA/Bliss/noraimee,noraimee,eng,,,11312/c-00015385-1,cross,toyplay,TD
childes/Eng-NA/Bliss/norjusti,norjusti,eng,,,11312/c-00015386-1,cross,toyplay,TD
childes/Eng-NA/Bliss/normarjo,normarjo,eng,,,11312/c-00015387-1,cross,toyplay,TD
childes/Eng-NA/Bliss/normelis,normelis,eng,,,11312/c-00015388-1,cross,toyplay,TD
childes/Eng-NA/Bliss/normered,normered,eng,,,11312/c-00015389-1,cross,toyplay,TD
childes/Eng-NA/Bliss/nortrevo,nortrevo,eng,,,11312/c-00015390-1,cross,toyplay,TD
childes/Eng-NA/Bliss/norwilli,norwilli,eng,,,11312/c-00015391-1,cross,toyplay,TD
childes/Eng-NA/Bloom/Eric/010807,010807,eng,,1966-02-09,11312/c-00015392-1,long,toyplay,TD
childes/Eng-NA/Bloom/Eric/010914,010914,eng,,1966-03-16,11312/c-00015393-1,long,toyplay,TD
childes/Eng-NA/Bloom/Eric/011027,011027,eng,,1966-04-29,11312/c-00015394-1,long,toyplay,TD
childes/Eng-NA/Bloom/Gia/010707,010707,eng,,,11312/c-00015395-1,long,toyplay,TD
childes/Eng-NA/Bloom/Gia/010815,010815,eng,,,11312/c-00015396-1,long,toyplay,TD
childes/Eng-NA/Bloom/Gia/011000,011000,eng,,,11312/c-00015397-1,long,toyplay,TD
childes/Eng-NA/Bloom/Gia/020000,020000,eng,,,11312/c-00015398-1,long,toyplay,TD
childes/Eng-NA/Bloom/Gia/020600,020600,eng,,,11312/c-00015399-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/010908,010908,eng,audio,1971-10-04,11312/c-00015400-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/010925,010925,eng,audio,,11312/c-00015401-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/011011,011011,eng,audio,1971-11-08,11312/c-00015402-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/011105,011105,eng,audio,,11312/c-00015403-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/011117,011117,eng,audio,,11312/c-00015404-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020010,020010,eng,audio,1972-01-06,11312/c-00015405-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020100,020100,eng,audio,1972-01-28,11312/c-00015406-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020118,020118,eng,audio,1972-02-18,11312/c-00015407-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020213,020213,eng,audio,,11312/c-00015408-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020303,020303,eng,audio,,11312/c-00015409-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020324,020324,eng,audio,,11312/c-00015410-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020415,020415,"eng,fra",audio,1972-05-12,11312/c-00015411-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020503,020503,eng,audio,,11312/c-00015412-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020522,020522,eng,audio,1972-06-19,11312/c-00015413-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020616,020616,eng,audio,1972-07-13,11312/c-00015414-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020713,020713,eng,audio,1972-08-09,11312/c-00015415-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020812,020812,eng,audio,1972-09-11,11312/c-00015416-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/020915,020915,eng,audio,1972-10-11,11312/c-00015417-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/021019,021019,eng,audio,,11312/c-00015418-1,long,toyplay,TD
childes/Eng-NA/Bloom/Peter/030120,030120,eng,audio,,11312/c-00015419-1,long,toyplay,TD
childes/Eng-NA/Bohannon/Bax/gina,gina,eng,,,11312/c-00015426-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/judy,judy,eng,,,11312/c-00015427-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/karen,karen,eng,,,11312/c-00015428-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/kelley,kelley,eng,,,11312/c-00015429-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/leah,leah,eng,,,11312/c-00015430-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/lindy,lindy,eng,,,11312/c-00015431-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/mari,mari,eng,,,11312/c-00015432-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/mich,mich,eng,,1986-10-22,11312/c-00015433-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/russ,russ,eng,,,11312/c-00015434-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Bax/thad,thad,eng,,,11312/c-00015435-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/angela,angela,eng,,,11312/c-00015436-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/bob,bob,eng,,,11312/c-00015437-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/claire,claire,eng,,,11312/c-00015438-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/dan,dan,eng,,,11312/c-00015439-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/debbie,debbie,eng,,,11312/c-00015440-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/doug,doug,eng,,,11312/c-00015441-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/elliott,elliott,eng,,,11312/c-00015442-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/harvey,harvey,eng,,,11312/c-00015443-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/jim,jim,eng,,,11312/c-00015444-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/john,john,eng,,,11312/c-00015445-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/kim,kim,eng,,,11312/c-00015446-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/lauren,lauren,eng,,,11312/c-00015447-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/lindsey,lindsey,eng,,,11312/c-00015448-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/noel,noel,eng,,,11312/c-00015449-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/ruth,ruth,eng,,,11312/c-00015450-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/stephani,stephani,eng,,,11312/c-00015451-1,cross,toyplay,TD
childes/Eng-NA/Bohannon/Nat/tom,tom,eng,,,11312/c-00015452-1,cross,toyplay,TD
childes/Eng-NA/Braunwald/010510,010510,eng,audio,1972-07-30,11312/c-00010310-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010511,010511,eng,audio,1972-07-31,11312/c-00010311-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010512,010512,eng,audio,1972-08-01,11312/c-00010312-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010513,010513,eng,audio,1972-08-02,11312/c-00010313-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010514,010514,eng,audio,1972-08-03,11312/c-00010314-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010519,010519,eng,audio,1972-07-29,11312/c-00010309-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010522,010522,eng,audio,1973-08-11,11312/c-00010315-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010528,010528,eng,audio,1971-08-17,11312/c-00010316-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010600a,010600a,eng,audio,1972-08-20,11312/c-00010317-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010600b,010600b,eng,audio,1972-08-20,11312/c-00010318-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010602,010602,eng,audio,1972-08-22,11312/c-00010319-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010603,010603,eng,audio,1972-08-23,11312/c-00010320-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010604a,010604a,eng,audio,1972-08-24,11312/c-00010321-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010604b,010604b,eng,audio,,11312/c-00010322-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010605,010605,eng,audio,1972-08-25,11312/c-00010323-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010607,010607,eng,audio,1972-08-27,11312/c-00010324-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010614a,010614a,eng,audio,1972-09-03,11312/c-00010325-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010614b,010614b,eng,audio,1972-09-03,11312/c-00010326-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010615,010615,eng,audio,1972-09-04,11312/c-00010327-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010616a,010616a,eng,audio,1972-09-05,11312/c-00010328-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010616b,010616b,eng,audio,1972-09-05,11312/c-00010329-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010619,010619,eng,audio,1972-09-08,11312/c-00010330-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010621,010621,eng,audio,1972-09-10,11312/c-00010331-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010627,010627,eng,audio,1972-09-16,11312/c-00010332-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010628,010628,eng,audio,1972-09-17,11312/c-00010333-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010629,010629,eng,audio,,11312/c-00010334-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010705,010705,eng,audio,1972-09-25,11312/c-00010335-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010706,010706,eng,audio,,11312/c-00010336-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010707,010707,eng,audio,1972-09-27,11312/c-00010337-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010708,010708,eng,audio,1972-09-28,11312/c-00010338-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010717,010717,eng,audio,1973-10-07,11312/c-00010339-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010719,010719,eng,audio,1972-10-09,11312/c-00010340-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010720,010720,eng,audio,1972-10-10,11312/c-00010341-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010721,010721,eng,audio,1972-10-11,11312/c-00010342-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010725,010725,eng,audio,1972-10-15,11312/c-00010343-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010819,010819,eng,audio,1973-11-08,11312/c-00010344-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010824,010824,eng,audio,,11312/c-00010345-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010902,010902,eng,audio,1972-11-22,11312/c-00010346-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010905,010905,eng,audio,1972-11-25,11312/c-00010347-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010906,010906,eng,audio,1972-11-26,11312/c-00010348-1,long,toyplay,TD
childes/Eng-NA/Braunwald/010916,010916,eng,audio,1972-12-06,11312/c-00010349-1,long,toyplay,TD
childes/Eng-NA/Braunwald/011000,011000,eng,audio,1972-12-20,11312/c-00010350-1,long,toyplay,TD
