path,filename,languages,media,date,pid,designType,activityType,groupType
childes/Eng-NA/Champaign/36P/21B,21B,eng,,2010-08-01,11312/a-00081875-1,,,
childes/Eng-NA/Champaign/36P/22B,22B,eng,,2010-07-01,11312/a-00081876-1,,,
childes/Eng-NA/Champaign/36P/25G,25G,eng,,2010-10-01,11312/a-00081877-1,,,
childes/Eng-NA/Champaign/36P/26B,26B,eng,,2010-09-01,11312/a-00081878-1,,,
childes/Eng-NA/Champaign/36P/28G,28G,eng,,2010-09-01,11312/a-00081879-1,,,
childes/Eng-NA/Champaign/36P/30B,30B,eng,,2010-09-01,11312/a-00081880-1,,,
childes/Eng-NA/Champaign/36P/33B,33B,eng,,2010-12-01,11312/a-00081881-1,,,
childes/Eng-NA/Champaign/36P/35G,35G,eng,,2010-08-01,11312/a-00081882-1,,,
childes/Eng-NA/Champaign/36P/36B,36B,eng,,2010-10-01,11312/a-00081883-1,,,
childes/Eng-NA/Champaign/36P/38G,38G,eng,,2011-07-01,11312/a-00081884-1,,,
childes/Eng-NA/Champaign/36P/39B,39B,eng,,2011-02-01,11312/a-00081885-1,,,
childes/Eng-NA/Champaign/36P/40B,40B,eng,,2011-07-01,11312/a-00081886-1,,,
childes/Eng-NA/Champaign/36P/41G,41G,eng,,2011-04-01,11312/a-00081887-1,,,
childes/Eng-NA/Champaign/36P/42B,42B,eng,,2011-08-01,11312/a-00081888-1,,,
childes/Eng-NA/Champaign/36P/43B,43B,eng,,2011-07-01,11312/a-00081889-1,,,
childes/Eng-NA/Champaign/36P/44B,44B,eng,,2011-07-01,11312/a-00081890-1,,,
childes/Eng-NA/Champaign/36P/45G,45G,eng,,1911-08-01,11312/a-00081891-1,,,
childes/Eng-NA/Champaign/36P/46G,46G,eng,,1911-05-01,11312/a-00081892-1,,,
childes/Eng-NA/Champaign/36P/47B,47B,eng,,1911-08-01,11312/a-00081893-1,,,
childes/Eng-NA/Champaign/36P/48B,48B,eng,,2011-09-01,11312/a-00081894-1,,,
childes/Eng-NA/Champaign/36P/50B,50B,eng,,2011-07-01,11312/a-00081895-1,,,
childes/Eng-NA/Champaign/36P/51G,51G,eng,,2011-04-01,11312/a-00081896-1,,,
childes/Eng-NA/Champaign/36P/53G,53G,eng,,2011-05-01,11312/a-00081897-1,,,
childes/Eng-NA/Champaign/36P/54B,54B,eng,,2011-12-01,11312/a-00081898-1,,,
childes/Eng-NA/Champaign/36P/55G,55G,eng,,2011-06-01,11312/a-00081899-1,,,
childes/Eng-NA/Champaign/36P/57B,57B,eng,,2011-07-01,11312/a-00081900-1,,,
childes/Eng-NA/Champaign/36P/58G,58G,eng,,2011-12-01,11312/a-00081901-1,,,
childes/Eng-NA/Champaign/36P/59B,59B,eng,,2012-01-01,11312/a-00081902-1,,,
childes/Eng-NA/Champaign/36P/60G,60G,eng,,2011-12-01,11312/a-00081903-1,,,
childes/Eng-NA/Champaign/36P/61B,61B,eng,,2011-02-01,11312/a-00081904-1,,,
childes/Eng-NA/Champaign/36X/01G,01G,eng,,2010-05-01,11312/a-00081905-1,,,
childes/Eng-NA/Champaign/36X/03G,03G,eng,,2010-10-01,11312/a-00081906-1,,,
childes/Eng-NA/Champaign/36X/06B,06B,eng,,2010-05-01,11312/a-00081907-1,,,
childes/Eng-NA/Champaign/36X/08G,08G,eng,,2010-07-01,11312/a-00081908-1,,,
childes/Eng-NA/Champaign/36X/09G,09G,eng,,2010-10-01,11312/a-00081909-1,,,
childes/Eng-NA/Champaign/36X/10G,10G,eng,,2010-07-01,11312/a-00081910-1,,,
childes/Eng-NA/Champaign/36X/11B,11B,eng,,2010-05-01,11312/a-00081911-1,,,
childes/Eng-NA/Champaign/36X/12G,12G,eng,,2010-08-01,11312/a-00081912-1,,,
childes/Eng-NA/Champaign/36X/18B,18B,eng,,2010-06-01,11312/a-00081913-1,,,
childes/Eng-NA/Champaign/36X/19G,19G,eng,,2010-06-01,11312/a-00081914-1,,,
childes/Eng-NA/Champaign/36X/20G,20G,eng,,2010-07-01,11312/a-00081915-1,,,
childes/Eng-NA/Champaign/36X/21B,21B,eng,,2010-09-01,11312/a-00081916-1,,,
childes/Eng-NA/Champaign/36X/22B,22B,eng,,2010-08-01,11312/a-00081917-1,,,
childes/Eng-NA/Champaign/36X/25G,25G,eng,,2010-10-01,11312/a-00081918-1,,,
childes/Eng-NA/Champaign/36X/26B,26B,eng,,2010-09-01,11312/a-00081919-1,,,
childes/Eng-NA/Champaign/36X/28G,28G,eng,,2010-09-01,11312/a-00081920-1,,,
childes/Eng-NA/Champaign/36X/30B,30B,eng,,2010-09-01,11312/a-00081921-1,,,
childes/Eng-NA/Champaign/36X/33B,33B,eng,,2010-12-01,11312/a-00081922-1,,,
childes/Eng-NA/Champaign/36X/35G,35G,eng,,2010-08-01,11312/a-00081923-1,,,
childes/Eng-NA/Champaign/36X/36B,36B,eng,,2010-10-01,11312/a-00081924-1,,,
childes/Eng-NA/Champaign/36X/39B,39B,eng,,2011-02-01,11312/a-00081925-1,,,
childes/Eng-NA/Champaign/36X/40B,40B,eng,,1911-07-01,11312/a-00081926-1,,,
childes/Eng-NA/Champaign/36X/41G,41G,eng,,2011-04-01,11312/a-00081927-1,,,
childes/Eng-NA/Champaign/36X/42B,42B,eng,,2011-08-01,11312/a-00081928-1,,,
childes/Eng-NA/Champaign/36X/43B,43B,eng,,2011-07-01,11312/a-00081929-1,,,
childes/Eng-NA/Champaign/36X/44B,44B,eng,,2011-07-01,11312/a-00081930-1,,,
childes/Eng-NA/Champaign/36X/45G,45G,eng,,2011-08-01,11312/a-00081931-1,,,
childes/Eng-NA/Champaign/36X/46G,46G,eng,,1911-05-01,11312/a-00081932-1,,,
