filename,path,who,name,role,language,monthage,age,sex,numwords,numutts,avgutt,medianutt
vicki,childes/Eng-NA/Bates/Free20/vicki,MOT,,Mother,eng,,,female,30,11,2.7272727,2
vicki,childes/Eng-NA/Bates/Free20/vicki,CHI,,Target_Child,eng,20.0,1;08.00,female,2,2,1.0,1
wanda,childes/Eng-NA/Bates/Free20/wanda,MOT,,Mother,eng,,,female,392,109,3.5963302,3
wanda,childes/Eng-NA/Bates/Free20/wanda,CHI,,Target_Child,eng,20.0,1;08.00,female,69,35,1.9714285,2
will,childes/Eng-NA/Bates/Free20/will,MOT,,Mother,eng,,,female,292,94,3.106383,3
will,childes/Eng-NA/Bates/Free20/will,CHI,,Target_Child,eng,20.0,1;08.00,male,17,11,1.5454545,1
zeke,childes/Eng-NA/Bates/Free20/zeke,CHI,,Target_Child,eng,20.0,1;08.00,male,7,7,1.0,1
zeke,childes/Eng-NA/Bates/Free20/zeke,MOT,,Mother,eng,,,female,376,109,3.4495413,3
amy28,childes/Eng-NA/Bates/Free28/amy28,CHI,,Target_Child,eng,28.0,2;04.00,female,82,64,1.28125,1
amy28,childes/Eng-NA/Bates/Free28/amy28,MOT,,Mother,eng,,,female,157,69,2.2753623,2
betty28,childes/Eng-NA/Bates/Free28/betty28,MOT,,Mother,eng,,,female,250,76,3.2894738,3
betty28,childes/Eng-NA/Bates/Free28/betty28,CHI,,Target_Child,eng,28.0,2;04.00,female,58,41,1.4146341,1
chuck28,childes/Eng-NA/Bates/Free28/chuck28,CHI,,Target_Child,eng,28.0,2;04.00,male,92,56,1.6428572,1
chuck28,childes/Eng-NA/Bates/Free28/chuck28,MOT,,Mother,eng,,,female,327,113,2.8938053,2
doug28,childes/Eng-NA/Bates/Free28/doug28,MOT,,Mother,eng,,,female,357,80,4.4625,4
doug28,childes/Eng-NA/Bates/Free28/doug28,CHI,,Target_Child,eng,28.0,2;04.00,male,83,27,3.074074,3
ed28,childes/Eng-NA/Bates/Free28/ed28,CHI,,Target_Child,eng,28.0,2;04.00,male,113,41,2.7560976,2
ed28,childes/Eng-NA/Bates/Free28/ed28,MOT,,Mother,eng,,,female,351,76,4.618421,5
frank28,childes/Eng-NA/Bates/Free28/frank28,MOT,,Mother,eng,,,female,194,60,3.2333333,3
frank28,childes/Eng-NA/Bates/Free28/frank28,CHI,,Target_Child,eng,28.0,2;04.00,male,46,31,1.483871,1
george28,childes/Eng-NA/Bates/Free28/george28,CHI,,Target_Child,eng,28.0,2;04.00,male,92,50,1.84,1
george28,childes/Eng-NA/Bates/Free28/george28,MOT,,Mother,eng,,,female,465,99,4.6969695,4
gloria28,childes/Eng-NA/Bates/Free28/gloria28,MOT,,Mother,eng,,,female,351,108,3.25,3
gloria28,childes/Eng-NA/Bates/Free28/gloria28,CHI,,Target_Child,eng,28.0,2;04.00,female,106,67,1.5820895,1
hank28,childes/Eng-NA/Bates/Free28/hank28,MOT,,Mother,eng,,,female,328,97,3.3814433,3
hank28,childes/Eng-NA/Bates/Free28/hank28,CHI,,Target_Child,eng,28.0,2;04.00,male,100,57,1.754386,1
ivy28,childes/Eng-NA/Bates/Free28/ivy28,MOT,,Mother,eng,,,female,290,75,3.8666666,3
ivy28,childes/Eng-NA/Bates/Free28/ivy28,CHI,,Target_Child,eng,28.0,2;04.00,female,89,35,2.5428572,3
keith28,childes/Eng-NA/Bates/Free28/keith28,MOT,,Mother,eng,,,female,510,108,4.7222223,4
keith28,childes/Eng-NA/Bates/Free28/keith28,CHI,,Target_Child,eng,28.0,2;04.00,male,153,63,2.4285715,2
kent28,childes/Eng-NA/Bates/Free28/kent28,CHI,,Target_Child,eng,28.0,2;04.00,male,203,91,2.2307692,2
kent28,childes/Eng-NA/Bates/Free28/kent28,MOT,,Mother,eng,,,female,269,73,3.6849315,3
linda28,childes/Eng-NA/Bates/Free28/linda28,MOT,,Mother,eng,,,female,241,66,3.6515152,3
linda28,childes/Eng-NA/Bates/Free28/linda28,CHI,,Target_Child,eng,28.0,2;04.00,female,119,58,2.0517242,2
mandy28,childes/Eng-NA/Bates/Free28/mandy28,CHI,,Target_Child,eng,28.0,2;04.00,female,184,72,2.5555556,2
mandy28,childes/Eng-NA/Bates/Free28/mandy28,MOT,,Mother,eng,,,female,173,58,2.9827585,3
nan28,childes/Eng-NA/Bates/Free28/nan28,MOT,,Mother,eng,,,female,416,85,4.894118,4
